Tweet ID,Tweet URL,Tweet Posted Time,Tweet Type,Tweet Text,Tweet Text Length,Client,Client URL,Total Views,Total Retweets,Total Likes,Total Quoted,Total Replies,Total Bookmarks,Language,Sensitive Content,Replying To Username,Mentions,Hashtags,Emojis,Symbols,Total Mentions,Total Hashtags,Total URLs,Total Media,Total Emojis,Total Symbols,Total Polls,URL,Media Type,Media URL,Media Alt Text,Original Author Twitter ID,Original Author Full name,Original Author Screen name,Original Author Location,Original Author Description (Bio),Original Author Website,Original Author Professional Type,Original Author Professional Category,Original Author Total Followers,Original Author Total Following,Original Author Total Public Lists,Original Author Total Likes,Original Author Total Tweets,Original Author Is Twitter Blue Verified,Original Author Is Legacy Verified,Original Author Has NFT Avatar,Original Author Protected Tweets,Original Author Created At (UTC),Original Author Possible Email,Original Author Possible Phone
1650962160925700145,https://twitter.com/reda_getachew/status/1650962160925700145,2023-04-25 20:37:07,Reply,"Finland’s commitment to resume its engagement in #Tigray’s recovery &amp; reconstruction efforts especially in the areas of education, water &amp; sanitation. We also discussed the status of the implementation of the CoHA &amp; compared notes on challenges posed by spoilers near and afar.",289,Twitter for iPhone,http://twitter.com/download/iphone,17089,175,382,1,20,1,en,,reda_getachew,"",Tigray,"","",0,1,0,0,0,0,0,,,,,1305546621476909060,Getachew K Reda,reda_getachew,Mekelle,"President, Tigray Interim Regional Administration; ExecCommittee member, TPLF.",,,,331521,336,253,15,764,false,false,,,2020-09-14 16:39:35,"",""
1650962153996709915,https://twitter.com/reda_getachew/status/1650962153996709915,2023-04-25 20:37:05,Tweet,Early this evening I met &amp; held discussions with @HAiraksinen D/Director General of the Africa &amp; Middle East department of the Finnish Ministry of Foreign Affairs &amp; her delegation that included the Ambassador @OutiHolpainen as well as other officials. We have discussed at length https://t.co/WFr57sUdUF,291,Twitter for iPhone,http://twitter.com/download/iphone,48015,403,873,16,98,3,en,false,,HAiraksinen,"","","",1,0,0,1,0,0,0,,photo,https://pbs.twimg.com/media/FullJ_ZWcBkxfnn.jpg,"",1305546621476909060,Getachew K Reda,reda_getachew,Mekelle,"President, Tigray Interim Regional Administration; ExecCommittee member, TPLF.",,,,331521,336,253,15,764,false,false,,,2020-09-14 16:39:35,"",""
1650892383322615808,https://twitter.com/reda_getachew/status/1650892383322615808,2023-04-25 15:59:50,Reply,"Justice &amp; accountability for crimes, challenges in the delivery of humanitarian aid as well as the US role in the recovery &amp; reconstruction efforts in Ethiopia in general &amp; Tigray in particular. I took the opportunity to express our gratitude to the US for its principled support.",292,Twitter for iPhone,http://twitter.com/download/iphone,29760,310,620,20,56,2,en,,reda_getachew,"","","","",0,0,0,0,0,0,0,,,,,1305546621476909060,Getachew K Reda,reda_getachew,Mekelle,"President, Tigray Interim Regional Administration; ExecCommittee member, TPLF.",,,,331521,336,253,15,764,false,false,,,2020-09-14 16:39:35,"",""
1650892373776269315,https://twitter.com/reda_getachew/status/1650892373776269315,2023-04-25 15:59:48,Tweet,"It was a pleasure to welcome to my office and hold productive discussions with @MikeHammerUSA and Ambassador Tracy Ann Jacobson of @USEmbassyAddis this afternoon. We did raise and reached understanding on a number of issues including the progress on the #thePretoria accords, https://t.co/DE7c1x7lQZ",276,Twitter for iPhone,http://twitter.com/download/iphone,115615,741,1740,154,316,16,en,false,,"MikeHammerUSA,USEmbassyAddis",thePretoria,"","",2,1,0,1,0,0,0,,photo,https://pbs.twimg.com/media/FuklhOUXwAI9L_z.jpg,"",1305546621476909060,Getachew K Reda,reda_getachew,Mekelle,"President, Tigray Interim Regional Administration; ExecCommittee member, TPLF.",,,,331521,336,253,15,764,false,false,,,2020-09-14 16:39:35,"",""
1649107287301029908,https://twitter.com/reda_getachew/status/1649107287301029908,2023-04-20 17:46:30,Tweet,ዒድ ሙባረክ ንሰዓብቲ እምነት እስልምና!,25,Twitter for iPhone,http://twitter.com/download/iphone,72920,327,1282,10,119,2,am,,,"","","","",0,0,0,0,0,0,0,,,,,1305546621476909060,Getachew K Reda,reda_getachew,Mekelle,"President, Tigray Interim Regional Administration; ExecCommittee member, TPLF.",,,,331521,336,253,15,764,false,false,,,2020-09-14 16:39:35,"",""
1647447549085614084,https://twitter.com/reda_getachew/status/1647447549085614084,2023-04-16 03:51:18,Tweet,ሩሑስ ባዓል ትንሳኤ ንሰዓብቲ እምነት ክርስትና ትግራይና,35,Twitter for iPhone,http://twitter.com/download/iphone,98283,584,2374,31,333,9,am,,,"","","","",0,0,0,0,0,0,0,,,,,1305546621476909060,Getachew K Reda,reda_getachew,Mekelle,"President, Tigray Interim Regional Administration; ExecCommittee member, TPLF.",,,,331521,336,253,15,764,false,false,,,2020-09-14 16:39:35,"",""
1647282008748351488,https://twitter.com/reda_getachew/status/1647282008748351488,2023-04-15 16:53:30,Tweet,We know ‘Fighting it out’ is not a typically Sudanese formula for conflict resolution or of resolving differences. We call on our brothers in #theSudan to stop the shooting &amp; come back to the drawing board so Sudan will continue to be the home that everyone makes it out to be!,281,Twitter for iPhone,http://twitter.com/download/iphone,286371,775,1959,88,394,12,en,,,"",theSudan,"","",0,1,0,0,0,0,0,,,,,1305546621476909060,Getachew K Reda,reda_getachew,Mekelle,"President, Tigray Interim Regional Administration; ExecCommittee member, TPLF.",,,,331521,336,253,15,764,false,false,,,2020-09-14 16:39:35,"",""
1646776934544670722,https://twitter.com/reda_getachew/status/1646776934544670722,2023-04-14 07:26:31,Tweet,"We held a meeting with Ambassador Teshome of the National Rehabilitation Commission on the remaining tasks in the #DDR process. Having evaluated the process undertaken thus far &amp; the tasks ahead, we have agreed to work closely on Demobilization &amp; Reintegration efforts in Tigray. https://t.co/KkRbxMETep",287,Twitter for iPhone,http://twitter.com/download/iphone,90625,403,1251,22,202,12,en,false,,"",DDR,"","",0,1,0,1,0,0,0,,photo,https://pbs.twimg.com/media/FtqEpzvWYAMqcHj.jpg,"",1305546621476909060,Getachew K Reda,reda_getachew,Mekelle,"President, Tigray Interim Regional Administration; ExecCommittee member, TPLF.",,,,331521,336,253,15,764,false,false,,,2020-09-14 16:39:35,"",""
1646144711382450176,https://twitter.com/reda_getachew/status/1646144711382450176,2023-04-12 13:34:17,Reply,together in addressing the growing challenge of diversion &amp; sale of food aid meant for the needy. We also agreed to take appropriate measures against individuals involved in such abhorrent behavior &amp; to ensure that aid indeed reaches target beneficiaries in a timely fashion.,283,Twitter for iPhone,http://twitter.com/download/iphone,25800,210,405,3,21,0,en,,reda_getachew,"","","","",0,0,0,0,0,0,0,,,,,1305546621476909060,Getachew K Reda,reda_getachew,Mekelle,"President, Tigray Interim Regional Administration; ExecCommittee member, TPLF.",,,,331521,336,253,15,764,false,false,,,2020-09-14 16:39:35,"",""
1646144694236200961,https://twitter.com/reda_getachew/status/1646144694236200961,2023-04-12 13:34:13,Reply,"the past few years, I also highlighted which areas we would like our partners to extend their support in order to help our hardworking people to get back on their feet again thereby helping reduce the pressure on the international community. We also emphasized the need to work",278,Twitter for iPhone,http://twitter.com/download/iphone,29173,211,408,0,13,0,en,,reda_getachew,"","","","",0,0,0,0,0,0,0,,,,,1305546621476909060,Getachew K Reda,reda_getachew,Mekelle,"President, Tigray Interim Regional Administration; ExecCommittee member, TPLF.",,,,331521,336,253,15,764,false,false,,,2020-09-14 16:39:35,"",""
